OrgName,Cities,ST,AnyAMT,AnyAMTDate
Bradd ,Baltimore,MD,28312,10/17/11
Guaranty ,Austin,TX,32618,10/10/11
CapitalSouth ,Birmingham,AL,22130,10/10/11
First Coweta ,Newnan,GA,57702,10/10/11
e,Atlanta,GA,34682,10/10/11
   Nevada,Las Vegas,NV,34043,10/3/11
   Arizona,Phoenix,AZ,57645,10/3/11
Union  National Association,Gilbert,AZ,34485,10/3/11
Colonial ,Montgomery,AL,9609,10/3/11
Dwelling House Savings  Loan Association,Pittsburgh,PA,31559,10/3/11
 First ,Prineville,OR,23268,9/26/11
 National   Sarasota ,Venice,FL,27183,9/26/11
First  ,Sarasota,FL,27364,9/26/11
Mutual ,Harvey,IL,18659,9/19/11
First Americano,Elizabeth,NJ,34270,9/19/11
Peoples  ,West Chester,OH,32288,9/19/11
Integrity ,Jupiter,FL,57604,9/19/11
First    Altus,Altus,OK,9873,9/19/11
Security   Jones ,Gray,GA,8486,9/12/11
Security   Houston ,Perry,GA,27048,9/12/11
Security   Bibb ,Macon,GA,27367,9/12/11
Security   Nth Metro,Woodstock,GA,57105,9/12/11
Security   Nth Fulton,Alpharetta,GA,57430,9/12/11
Security   Gwinnett ,Suwanee,GA,57346,9/12/11
Waterd Village ,Williamsville,NY,58065,9/12/11
Temecula Valley ,Temecula,CA,34341,9/5/11
Vineyard ,Rancho Cucamonga,CA,23556,9/5/11
First,Sioux Falls,SD,34103,9/5/11
First Piedmont ,Winder,GA,34594,9/5/11
  Wyoming,Thermopolis,WY,22754,8/29/11
Founders ,Worth,IL,18390,8/21/11
Millennium    Texas,Dallas,TX,57667,8/21/11
First National   Danville,Danville,IL,3644,8/21/11
 Elizabeth  ,Elizabeth,IL,9262,8/21/11
Rock River ,Oregon,IL,15302,8/21/11
First    Winchester,Winchester,IL,11710,8/21/11
John Warner ,Clinton,IL,12093,8/21/11
Mirae ,Los Angeles,CA,57332,8/15/11
MetroPacific ,Irvine,CA,57893,8/15/11
Hizon ,Pine City,MN,9744,8/15/11
Neighbhood  ,Newnan,GA,35285,8/15/11
   West Gegia,Villa Rica,GA,57436,8/15/11
First National   Anthony,Anthony,KS,4614,8/8/11
Cooperative ,Wilmington,NC,27837,8/8/11
Sourn  ,Fayetteville,GA,35251,8/8/11
  Lincolnwood,Lincolnwood,IL,17309,7/25/11
s National ,Macomb,IL,5757,7/11/11
Strategic Capital ,Champaign,IL,35175,7/11/11
United FSB,Coral Gables,FL,32247,7/10/11
Westsound ,Bremerton,WA,34843,6/27/11
America West ,Layton,UT,35461,6/20/11
s  ,Ridgewood,NJ,57563,6/20/11
Silverton  NA,Atlanta,GA,26535,6/20/11
First   Idaho,Ketchum,ID,34396,6/13/11
First   Beverly Hills,Calabasas,CA,32069,6/13/11
Michigan Heritage ,Farmington Hills,MI,34369,6/13/11
American Sourn ,Kennesaw,GA,57943,6/13/11
Great Basin   Nevada,Elko,NV,33824,6/6/11
American Sterling ,Sugar Creek,MO,8266,6/6/11
New Frontier ,Greeley,CO,34881,5/30/11
Cape Fear ,Wilmington,NC,34639,5/30/11
Omni National ,Atlanta,GA,22238,5/16/11
Team NA,Paola,KS,4754,5/9/11
Colado National ,Colorado Springs,CO,18896,5/9/11
First ,Stockbridge,GA,18243,5/9/11
Freedom   Gegia,Commerce,GA,57558,4/25/11
Security Savings ,Henderson,NV,34820,4/18/11
Heritage  ,Glenwood,IL,20078,4/18/11
Silver Falls ,Silverton,OR,35399,4/11/11
Pinnacle   egon,Beaverton,OR,57342,4/4/11
Cn Belt  &amp; Trust Co.,Pittsfield,IL,16500,4/4/11
Riverside    Gulf Coast,Cape Coral,FL,34563,4/4/11
Sherman  ,Loup City,NE,5431,4/4/11
 ,Merced,CA,22574,3/28/11
Alliance ,Culver City,CA,23124,3/28/11
First  Services,McDonough,GA,57017,3/28/11
Ocala National ,Ocala,FL,26538,3/21/11
Suburban FSB,Crofton,MD,30763,3/21/11
Magnet,Salt Lake City,UT,58001,3/21/11
1st Centennial ,Redlands,CA,33025,3/14/11
  Clark ,Vancouver,WA,34959,3/7/11
National   ,Berkeley,IL,19733,3/7/11
Serson  ,Sanderson,TX,11568,1/31/11
Haven Trust ,Duluth,GA,35379,1/31/11
First Gegia  ,Jackson,GA,34301,1/24/11
PFF  &amp; Trust,Pomona,CA,28344,1/10/11
Downey Savings &amp; Loan,Newport Beach,CA,30968,1/10/11
 ,Loganville,GA,16490,1/10/11
Security Pacific ,Los Angeles,CA,23595,12/27/10
Franklin  SSB,Houston,TX,26870,12/27/10
Freedom ,Bradenton,FL,57930,12/20/10
Alpha  &amp; Trust,Alpharetta,GA,58241,12/13/10
Meridian ,Eldred,IL,13789,11/29/10
Main Street ,Northville,MI,57654,11/29/10
Washington Mutual  Including its subsidiary Washington Mutual  FSB,Henderson,NV,32633,11/14/10
Ameri,Northfork,WV,6782,11/8/10
Silver  ,Henderson,NV,34194,10/25/10
Integrity ,Alpharetta,GA,35469,10/18/10
Columbian  &amp; Trust,Topeka,KS,22728,10/11/10
First Priity ,Bradenton,FL,57523,9/20/10
First Heritage  NA,Newport Beach,CA,57961,9/13/10
First National   Nevada,Reno,NV,27011,9/13/10
IndyMac ,Pasadena,CA,29730,8/30/10
